;Bus;Sequence;Sum
0;Battery_e;(('Battery_e', 'Electricity_e'), 'flow');249572,92
0;Battery_e;(('Battery_e', 'None'), 'storage_content');2742129,0
0;Battery_e;(('Electricity_e', 'Battery_e'), 'flow');277303,24
0;Battery_m;(('Battery_m', 'Electricity_m'), 'flow');302759,17
0;Battery_m;(('Battery_m', 'None'), 'storage_content');3353678,48
0;Battery_m;(('Electricity_m', 'Battery_m'), 'flow');336399,08
0;Battery_n;(('Battery_n', 'Electricity_n'), 'flow');0,0
0;Battery_n;(('Battery_n', 'None'), 'storage_content');0,0
0;Battery_n;(('Electricity_n', 'Battery_n'), 'flow');0,0
0;Battery_s;(('Battery_s', 'Electricity_s'), 'flow');476326,08
0;Battery_s;(('Battery_s', 'None'), 'storage_content');8734290,93
0;Battery_s;(('Electricity_s', 'Battery_s'), 'flow');529251,2
0;Solidfuel_e;(('BioTransformer_e', 'Solidfuel_e'), 'flow');537740,33
0;Solidfuel_e;(('Import_brown_coal_e', 'Solidfuel_e'), 'flow');0,0
0;Solidfuel_e;(('Import_hard_coal_e', 'Solidfuel_e'), 'flow');0,0
0;Solidfuel_e;(('Solidfuel_e', 'Biomass_demand_total_e'), 'flow');537740,33
0;Solidfuel_m;(('BioTransformer_m', 'Solidfuel_m'), 'flow');542514,45
0;Solidfuel_m;(('Import_brown_coal_m', 'Solidfuel_m'), 'flow');0,0
0;Solidfuel_m;(('Import_hard_coal_m', 'Solidfuel_m'), 'flow');0,0
0;Solidfuel_m;(('Solidfuel_m', 'Biomass_demand_total_m'), 'flow');542514,45
0;Solidfuel_n;(('BioTransformer_n', 'Solidfuel_n'), 'flow');304671,11
0;Solidfuel_n;(('Import_brown_coal_n', 'Solidfuel_n'), 'flow');0,0
0;Solidfuel_n;(('Import_hard_coal_n', 'Solidfuel_n'), 'flow');0,0
0;Solidfuel_n;(('Solidfuel_n', 'Biomass_demand_total_n'), 'flow');304671,11
0;Solidfuel_s;(('BioTransformer_s', 'Solidfuel_s'), 'flow');369781,29
0;Solidfuel_s;(('Import_brown_coal_s', 'Solidfuel_s'), 'flow');0,0
0;Solidfuel_s;(('Import_hard_coal_s', 'Solidfuel_s'), 'flow');0,0
0;Solidfuel_s;(('Solidfuel_s', 'Biomass_demand_total_s'), 'flow');369781,29
0;BioWood_e;(('BioWood_e', 'BioTransformer_e'), 'flow');537740,33
0;BioWood_e;(('BioWood_e', 'Biomasse_elec_e'), 'flow');0,0
0;BioWood_e;(('BioWood_e', 'Biomasse_heat_e'), 'flow');0,0
0;BioWood_e;(('Import_Wood_e', 'BioWood_e'), 'flow');537740,33
0;BioWood_m;(('BioWood_m', 'BioTransformer_m'), 'flow');542514,45
0;BioWood_m;(('BioWood_m', 'Biomasse_elec_m'), 'flow');0,0
0;BioWood_m;(('BioWood_m', 'Biomasse_heat_m'), 'flow');0,0
0;BioWood_m;(('Import_Wood_m', 'BioWood_m'), 'flow');542514,45
0;BioWood_n;(('BioWood_n', 'BioTransformer_n'), 'flow');304671,11
0;BioWood_n;(('BioWood_n', 'Biomasse_elec_n'), 'flow');0,0
0;BioWood_n;(('BioWood_n', 'Biomasse_heat_n'), 'flow');0,0
0;BioWood_n;(('Import_Wood_n', 'BioWood_n'), 'flow');304671,11
0;BioWood_s;(('BioWood_s', 'BioTransformer_s'), 'flow');369781,29
0;BioWood_s;(('BioWood_s', 'Biomasse_elec_s'), 'flow');0,0
0;BioWood_s;(('BioWood_s', 'Biomasse_heat_s'), 'flow');0,0
0;BioWood_s;(('Import_Wood_s', 'BioWood_s'), 'flow');369781,29
0;District heating_e;(('Biogas_e', 'District heating_e'), 'flow');0,0
0;District heating_e;(('Biomasse_heat_e', 'District heating_e'), 'flow');0,0
0;District heating_e;(('District heating_e', 'Heat storage_e'), 'flow');128855,01
0;District heating_e;(('District heating_e', 'Heat_demand_total_e'), 'flow');401828,11
0;District heating_e;(('District heating_e', 'excess_b_distheat_e'), 'flow');0,0
0;District heating_e;(('Electric boiler_e', 'District heating_e'), 'flow');0,0
0;District heating_e;(('GuD_e', 'District heating_e'), 'flow');412859,3
0;District heating_e;(('Heat storage_e', 'District heating_e'), 'flow');117823,81
0;District heating_e;(('Heatpump_air_e', 'District heating_e'), 'flow');0,0
0;District heating_e;(('Heatpump_water_e', 'District heating_e'), 'flow');0,0
0;District heating_e;(('ST_e', 'District heating_e'), 'flow');0,0
0;Electricity_e;(('Battery_e', 'Electricity_e'), 'flow');249572,92
0;Electricity_e;(('Biogas_e', 'Electricity_e'), 'flow');0,0
0;Electricity_e;(('Biomasse_elec_e', 'Electricity_e'), 'flow');0,0
0;Electricity_e;(('East<->Middel', 'Electricity_e'), 'flow');1013,01
0;Electricity_e;(('Electricity_e', 'Battery_e'), 'flow');277303,24
0;Electricity_e;(('Electricity_e', 'East<->Middel'), 'flow');29455,96
0;Electricity_e;(('Electricity_e', 'Electric boiler_e'), 'flow');0,0
0;Electricity_e;(('Electricity_e', 'Electricity_demand_total_e'), 'flow');4645685,81
0;Electricity_e;(('Electricity_e', 'Electrolysis_e'), 'flow');762349,0
0;Electricity_e;(('Electricity_e', 'Export_Electricity_e'), 'flow');2215532,33
0;Electricity_e;(('Electricity_e', 'HS<->East'), 'flow');80844,0
0;Electricity_e;(('Electricity_e', 'Heatpump_air_e'), 'flow');0,0
0;Electricity_e;(('Electricity_e', 'Heatpump_water_e'), 'flow');0,0
0;Electricity_e;(('Electricity_e', 'Pumped_hydro_storage_e'), 'flow');473270,5
0;Electricity_e;(('Electricity_e', 'excess_b_el_e'), 'flow');0,0
0;Electricity_e;(('Fuelcell_e', 'Electricity_e'), 'flow');0,0
0;Electricity_e;(('GuD_e', 'Electricity_e'), 'flow');432062,06
0;Electricity_e;(('HS<->East', 'Electricity_e'), 'flow');1217865,88
0;Electricity_e;(('Hydro power plant_e', 'Electricity_e'), 'flow');0,0
0;Electricity_e;(('PV_open_e', 'Electricity_e'), 'flow');52550,0
0;Electricity_e;(('PV_rooftop_e', 'Electricity_e'), 'flow');0,0
0;Electricity_e;(('Pumped_hydro_storage_e', 'Electricity_e'), 'flow');378616,4
0;Electricity_e;(('Wind_e', 'Electricity_e'), 'flow');6152760,57
0;Gas_e;(('Biogas_feedin_existing_e', 'Gas_e'), 'flow');3676637,31
0;Gas_e;(('Biogas_feedin_new_e', 'Gas_e'), 'flow');0,0
0;Gas_e;(('Gas_e', 'Gas_demand_total_e'), 'flow');2930217,78
0;Gas_e;(('Gas_e', 'Gas_storage_e'), 'flow');1018084,39
0;Gas_e;(('Gas_e', 'GuD_e'), 'flow');960137,91
0;Gas_e;(('Gas_e', 'Material_demand_Gas_e'), 'flow');3229,63
0;Gas_e;(('Gas_e', 'excess_b_gas_e'), 'flow');0,0
0;Gas_e;(('Gas_storage_e', 'Gas_e'), 'flow');967180,17
0;Gas_e;(('Hydrogen_feedin_e', 'Gas_e'), 'flow');0,0
0;Gas_e;(('Import_Gas_e', 'Gas_e'), 'flow');267852,24
0;Gas_e;(('Methanisation_e', 'Gas_e'), 'flow');0,0
0;Gas_m;(('Biogas_feedin_existing_m', 'Gas_m'), 'flow');3399984,2
0;Gas_m;(('Biogas_feedin_new_m', 'Gas_m'), 'flow');0,0
0;Gas_m;(('Gas_m', 'Gas_demand_total_m'), 'flow');2686791,39
0;Gas_m;(('Gas_m', 'Gas_storage_m'), 'flow');911055,96
0;Gas_m;(('Gas_m', 'GuD_m'), 'flow');955114,13
0;Gas_m;(('Gas_m', 'Material_demand_Gas_m'), 'flow');3139,64
0;Gas_m;(('Gas_m', 'excess_b_gas_m'), 'flow');0,0
0;Gas_m;(('Gas_storage_m', 'Gas_m'), 'flow');865503,16
0;Gas_m;(('Hydrogen_feedin_m', 'Gas_m'), 'flow');0,0
0;Gas_m;(('Import_Gas_m', 'Gas_m'), 'flow');290613,76
0;Gas_m;(('Methanisation_m', 'Gas_m'), 'flow');0,0
0;Gas_n;(('Biogas_feedin_existing_n', 'Gas_n'), 'flow');2025792,0
0;Gas_n;(('Biogas_feedin_new_n', 'Gas_n'), 'flow');0,0
0;Gas_n;(('Gas_n', 'Gas_demand_total_n'), 'flow');1613558,45
0;Gas_n;(('Gas_n', 'Gas_storage_n'), 'flow');514600,68
0;Gas_n;(('Gas_n', 'GuD_n'), 'flow');541802,77
0;Gas_n;(('Gas_n', 'Material_demand_Gas_n'), 'flow');1949,78
0;Gas_n;(('Gas_n', 'excess_b_gas_n'), 'flow');0,0
0;Gas_n;(('Gas_storage_n', 'Gas_n'), 'flow');488870,64
0;Gas_n;(('Hydrogen_feedin_n', 'Gas_n'), 'flow');0,0
0;Gas_n;(('Import_Gas_n', 'Gas_n'), 'flow');157249,03
0;Gas_n;(('Methanisation_n', 'Gas_n'), 'flow');0,0
0;Gas_s;(('Biogas_feedin_existing_s', 'Gas_s'), 'flow');2865605,24
0;Gas_s;(('Biogas_feedin_new_s', 'Gas_s'), 'flow');0,0
0;Gas_s;(('Gas_s', 'Gas_demand_total_s'), 'flow');2346594,75
0;Gas_s;(('Gas_s', 'Gas_storage_s'), 'flow');670595,72
0;Gas_s;(('Gas_s', 'GuD_s'), 'flow');649693,9
0;Gas_s;(('Gas_s', 'Material_demand_Gas_s'), 'flow');2419,72
0;Gas_s;(('Gas_s', 'excess_b_gas_s'), 'flow');0,0
0;Gas_s;(('Gas_storage_s', 'Gas_s'), 'flow');637065,93
0;Gas_s;(('Hydrogen_feedin_s', 'Gas_s'), 'flow');0,0
0;Gas_s;(('Import_Gas_s', 'Gas_s'), 'flow');166632,92
0;Gas_s;(('Methanisation_s', 'Gas_s'), 'flow');0,0
0;District heating_m;(('Biogas_m', 'District heating_m'), 'flow');0,0
0;District heating_m;(('Biomasse_heat_m', 'District heating_m'), 'flow');0,0
0;District heating_m;(('District heating_m', 'Heat storage_m'), 'flow');124811,5
0;District heating_m;(('District heating_m', 'Heat_demand_total_m'), 'flow');405395,73
0;District heating_m;(('District heating_m', 'excess_b_distheat_m'), 'flow');0,0
0;District heating_m;(('Electric boiler_m', 'District heating_m'), 'flow');0,0
0;District heating_m;(('GuD_m', 'District heating_m'), 'flow');410699,08
0;District heating_m;(('Heat storage_m', 'District heating_m'), 'flow');119508,15
0;District heating_m;(('Heatpump_air_m', 'District heating_m'), 'flow');0,0
0;District heating_m;(('Heatpump_water_m', 'District heating_m'), 'flow');0,0
0;District heating_m;(('ST_m', 'District heating_m'), 'flow');0,0
0;Electricity_m;(('Battery_m', 'Electricity_m'), 'flow');302759,17
0;Electricity_m;(('Biogas_m', 'Electricity_m'), 'flow');0,0
0;Electricity_m;(('Biomasse_elec_m', 'Electricity_m'), 'flow');0,0
0;Electricity_m;(('East<->Middel', 'Electricity_m'), 'flow');29455,96
0;Electricity_m;(('Electricity_m', 'Battery_m'), 'flow');336399,08
0;Electricity_m;(('Electricity_m', 'East<->Middel'), 'flow');1013,01
0;Electricity_m;(('Electricity_m', 'Electric boiler_m'), 'flow');0,0
0;Electricity_m;(('Electricity_m', 'Electricity_demand_total_m'), 'flow');4405758,53
0;Electricity_m;(('Electricity_m', 'Electrolysis_m'), 'flow');0,0
0;Electricity_m;(('Electricity_m', 'Export_Electricity_m'), 'flow');1688449,79
0;Electricity_m;(('Electricity_m', 'HS<->Middle'), 'flow');39782,97
0;Electricity_m;(('Electricity_m', 'Heatpump_air_m'), 'flow');0,0
0;Electricity_m;(('Electricity_m', 'Heatpump_water_m'), 'flow');0,0
0;Electricity_m;(('Electricity_m', 'Middel<->Swest'), 'flow');125467,59
0;Electricity_m;(('Electricity_m', 'North<->Middel'), 'flow');1921,71
0;Electricity_m;(('Electricity_m', 'Pumped_hydro_storage_m'), 'flow');469927,77
0;Electricity_m;(('Electricity_m', 'excess_b_el_m'), 'flow');0,0
0;Electricity_m;(('Fuelcell_m', 'Electricity_m'), 'flow');0,0
0;Electricity_m;(('GuD_m', 'Electricity_m'), 'flow');429801,36
0;Electricity_m;(('HS<->Middle', 'Electricity_m'), 'flow');1410055,88
0;Electricity_m;(('Hydro power plant_m', 'Electricity_m'), 'flow');0,0
0;Electricity_m;(('Middel<->Swest', 'Electricity_m'), 'flow');78391,94
0;Electricity_m;(('North<->Middel', 'Electricity_m'), 'flow');27132,75
0;Electricity_m;(('PV_open_m', 'Electricity_m'), 'flow');279987,97
0;Electricity_m;(('PV_rooftop_m', 'Electricity_m'), 'flow');0,0
0;Electricity_m;(('Pumped_hydro_storage_m', 'Electricity_m'), 'flow');375942,22
0;Electricity_m;(('Wind_m', 'Electricity_m'), 'flow');4135193,21
0;District heating_n;(('Biogas_n', 'District heating_n'), 'flow');0,0
0;District heating_n;(('Biomasse_heat_n', 'District heating_n'), 'flow');0,0
0;District heating_n;(('District heating_n', 'Heat storage_n'), 'flow');70825,53
0;District heating_n;(('District heating_n', 'Heat_demand_total_n'), 'flow');227666,39
0;District heating_n;(('District heating_n', 'excess_b_distheat_n'), 'flow');0,0
0;District heating_n;(('Electric boiler_n', 'District heating_n'), 'flow');0,0
0;District heating_n;(('GuD_n', 'District heating_n'), 'flow');232975,19
0;District heating_n;(('Heat storage_n', 'District heating_n'), 'flow');65516,73
0;District heating_n;(('Heatpump_air_n', 'District heating_n'), 'flow');0,0
0;District heating_n;(('Heatpump_water_n', 'District heating_n'), 'flow');0,0
0;District heating_n;(('ST_n', 'District heating_n'), 'flow');0,0
0;Electricity_n;(('Battery_n', 'Electricity_n'), 'flow');0,0
0;Electricity_n;(('Biogas_n', 'Electricity_n'), 'flow');0,0
0;Electricity_n;(('Biomasse_elec_n', 'Electricity_n'), 'flow');0,0
0;Electricity_n;(('Electricity_n', 'Battery_n'), 'flow');0,0
0;Electricity_n;(('Electricity_n', 'Electric boiler_n'), 'flow');0,0
0;Electricity_n;(('Electricity_n', 'Electricity_demand_total_n'), 'flow');2428768,75
0;Electricity_n;(('Electricity_n', 'Electrolysis_n'), 'flow');669073,16
0;Electricity_n;(('Electricity_n', 'Export_Electricity_n'), 'flow');1200937,4
0;Electricity_n;(('Electricity_n', 'HS<->North'), 'flow');52928,28
0;Electricity_n;(('Electricity_n', 'Heatpump_air_n'), 'flow');0,0
0;Electricity_n;(('Electricity_n', 'Heatpump_water_n'), 'flow');0,0
0;Electricity_n;(('Electricity_n', 'North<->Middel'), 'flow');27132,75
0;Electricity_n;(('Electricity_n', 'Pumped_hydro_storage_n'), 'flow');459426,23
0;Electricity_n;(('Electricity_n', 'excess_b_el_n'), 'flow');0,0
0;Electricity_n;(('Fuelcell_n', 'Electricity_n'), 'flow');0,0
0;Electricity_n;(('GuD_n', 'Electricity_n'), 'flow');243811,25
0;Electricity_n;(('HS<->North', 'Electricity_n'), 'flow');578685,0
0;Electricity_n;(('Hydro power plant_n', 'Electricity_n'), 'flow');195270,86
0;Electricity_n;(('North<->Middel', 'Electricity_n'), 'flow');1921,71
0;Electricity_n;(('PV_open_n', 'Electricity_n'), 'flow');81668,08
0;Electricity_n;(('PV_rooftop_n', 'Electricity_n'), 'flow');0,0
0;Electricity_n;(('Pumped_hydro_storage_n', 'Electricity_n'), 'flow');367540,99
0;Electricity_n;(('Wind_n', 'Electricity_n'), 'flow');3369368,69
0;District heating_s;(('Biogas_s', 'District heating_s'), 'flow');0,0
0;District heating_s;(('Biomasse_heat_s', 'District heating_s'), 'flow');0,0
0;District heating_s;(('District heating_s', 'Heat storage_s'), 'flow');81629,29
0;District heating_s;(('District heating_s', 'Heat_demand_total_s'), 'flow');276320,23
0;District heating_s;(('District heating_s', 'excess_b_distheat_s'), 'flow');0,0
0;District heating_s;(('Electric boiler_s', 'District heating_s'), 'flow');0,0
0;District heating_s;(('GuD_s', 'District heating_s'), 'flow');279368,38
0;District heating_s;(('Heat storage_s', 'District heating_s'), 'flow');78581,14
0;District heating_s;(('Heatpump_air_s', 'District heating_s'), 'flow');0,0
0;District heating_s;(('Heatpump_water_s', 'District heating_s'), 'flow');0,0
0;District heating_s;(('ST_s', 'District heating_s'), 'flow');0,0
0;Electricity_s;(('Battery_s', 'Electricity_s'), 'flow');476326,08
0;Electricity_s;(('Biogas_s', 'Electricity_s'), 'flow');0,0
0;Electricity_s;(('Biomasse_elec_s', 'Electricity_s'), 'flow');0,0
0;Electricity_s;(('Electricity_s', 'Battery_s'), 'flow');529251,2
0;Electricity_s;(('Electricity_s', 'Electric boiler_s'), 'flow');0,0
0;Electricity_s;(('Electricity_s', 'Electricity_demand_total_s'), 'flow');3659122,06
0;Electricity_s;(('Electricity_s', 'Electrolysis_s'), 'flow');1846218,59
0;Electricity_s;(('Electricity_s', 'Export_Electricity_s'), 'flow');438698,87
0;Electricity_s;(('Electricity_s', 'HS<->Swest'), 'flow');131713,2
0;Electricity_s;(('Electricity_s', 'Heatpump_air_s'), 'flow');0,0
0;Electricity_s;(('Electricity_s', 'Heatpump_water_s'), 'flow');0,0
0;Electricity_s;(('Electricity_s', 'Middel<->Swest'), 'flow');78391,94
0;Electricity_s;(('Electricity_s', 'Pumped_hydro_storage_s'), 'flow');218143,68
0;Electricity_s;(('Electricity_s', 'excess_b_el_s'), 'flow');0,0
0;Electricity_s;(('Fuelcell_s', 'Electricity_s'), 'flow');0,0
0;Electricity_s;(('GuD_s', 'Electricity_s'), 'flow');292362,25
0;Electricity_s;(('HS<->Swest', 'Electricity_s'), 'flow');751283,56
0;Electricity_s;(('Hydro power plant_s', 'Electricity_s'), 'flow');0,0
0;Electricity_s;(('Middel<->Swest', 'Electricity_s'), 'flow');125467,59
0;Electricity_s;(('PV_open_s', 'Electricity_s'), 'flow');731093,44
0;Electricity_s;(('PV_rooftop_s', 'Electricity_s'), 'flow');0,0
0;Electricity_s;(('Pumped_hydro_storage_s', 'Electricity_s'), 'flow');174514,95
0;Electricity_s;(('Wind_s', 'Electricity_s'), 'flow');4350491,68
0;Biomass_e;(('Biomass_e', 'Biogas_e'), 'flow');0,0
0;Biomass_e;(('Biomass_e', 'Biogas_feedin_existing_e'), 'flow');4085152,56
0;Biomass_e;(('Biomass_e', 'Biogas_feedin_new_e'), 'flow');0,0
0;Biomass_e;(('Biomass_e', 'excess_b_bio_e'), 'flow');0,0
0;Biomass_e;(('Import_solid_fuel_e', 'Biomass_e'), 'flow');4085152,56
0;Biomass_m;(('Biomass_m', 'Biogas_feedin_existing_m'), 'flow');3777760,22
0;Biomass_m;(('Biomass_m', 'Biogas_feedin_new_m'), 'flow');0,0
0;Biomass_m;(('Biomass_m', 'Biogas_m'), 'flow');0,0
0;Biomass_m;(('Biomass_m', 'excess_b_bio_m'), 'flow');0,0
0;Biomass_m;(('Import_solid_fuel_m', 'Biomass_m'), 'flow');3777760,22
0;Biomass_n;(('Biomass_n', 'Biogas_feedin_existing_n'), 'flow');2250880,0
0;Biomass_n;(('Biomass_n', 'Biogas_feedin_new_n'), 'flow');0,0
0;Biomass_n;(('Biomass_n', 'Biogas_n'), 'flow');0,0
0;Biomass_n;(('Biomass_n', 'excess_b_bio_n'), 'flow');0,0
0;Biomass_n;(('Import_solid_fuel_n', 'Biomass_n'), 'flow');2250880,0
0;Biomass_s;(('Biomass_s', 'Biogas_feedin_existing_s'), 'flow');3184005,82
0;Biomass_s;(('Biomass_s', 'Biogas_feedin_new_s'), 'flow');0,0
0;Biomass_s;(('Biomass_s', 'Biogas_s'), 'flow');0,0
0;Biomass_s;(('Biomass_s', 'excess_b_bio_s'), 'flow');0,0
0;Biomass_s;(('Import_solid_fuel_s', 'Biomass_s'), 'flow');3184005,82
0;Electricity_HS;(('Electricity_HS', 'HS<->East'), 'flow');1217865,88
0;Electricity_HS;(('Electricity_HS', 'HS<->Middle'), 'flow');1410055,88
0;Electricity_HS;(('Electricity_HS', 'HS<->North'), 'flow');578685,0
0;Electricity_HS;(('Electricity_HS', 'HS<->Swest'), 'flow');751283,56
0;Electricity_HS;(('Electricity_HS', 'HöS<->HS'), 'flow');0,0
0;Electricity_HS;(('HS<->East', 'Electricity_HS'), 'flow');80844,0
0;Electricity_HS;(('HS<->Middle', 'Electricity_HS'), 'flow');39782,97
0;Electricity_HS;(('HS<->North', 'Electricity_HS'), 'flow');52928,28
0;Electricity_HS;(('HS<->Swest', 'Electricity_HS'), 'flow');131713,2
0;Electricity_HS;(('HöS<->HS', 'Electricity_HS'), 'flow');3652621,87
0;Electricity_HöS;(('Electricity_HöS', 'HöS<->HS'), 'flow');3652621,87
0;Electricity_HöS;(('HöS<->HS', 'Electricity_HöS'), 'flow');0,0
0;Electricity_HöS;(('Import_electricity', 'Electricity_HöS'), 'flow');3652621,87
0;Hydrogen_e;(('Electrolysis_e', 'Hydrogen_e'), 'flow');640373,16
0;Hydrogen_e;(('H2_storage_e', 'Hydrogen_e'), 'flow');0,0
0;Hydrogen_e;(('Hydrogen_e', 'Export_Hydrogen_e'), 'flow');640373,16
0;Hydrogen_e;(('Hydrogen_e', 'Fuelcell_e'), 'flow');0,0
0;Hydrogen_e;(('Hydrogen_e', 'H2_storage_e'), 'flow');0,0
0;Hydrogen_e;(('Hydrogen_e', 'Hydrogen_demand_total_e'), 'flow');0,0
0;Hydrogen_e;(('Hydrogen_e', 'Hydrogen_feedin_e'), 'flow');0,0
0;Hydrogen_e;(('Hydrogen_e', 'Methanisation_e'), 'flow');0,0
0;Hydrogen_e;(('Hydrogen_e', 'PtL_e'), 'flow');0,0
0;Hydrogen_e;(('Hydrogen_e', 'excess_b_H2_e'), 'flow');0,0
0;Hydrogen_m;(('Electrolysis_m', 'Hydrogen_m'), 'flow');0,0
0;Hydrogen_m;(('H2_storage_m', 'Hydrogen_m'), 'flow');0,0
0;Hydrogen_m;(('Hydrogen_m', 'Export_Hydrogen_m'), 'flow');0,0
0;Hydrogen_m;(('Hydrogen_m', 'Fuelcell_m'), 'flow');0,0
0;Hydrogen_m;(('Hydrogen_m', 'H2_storage_m'), 'flow');0,0
0;Hydrogen_m;(('Hydrogen_m', 'Hydrogen_demand_total_m'), 'flow');0,0
0;Hydrogen_m;(('Hydrogen_m', 'Hydrogen_feedin_m'), 'flow');0,0
0;Hydrogen_m;(('Hydrogen_m', 'Methanisation_m'), 'flow');0,0
0;Hydrogen_m;(('Hydrogen_m', 'PtL_m'), 'flow');0,0
0;Hydrogen_m;(('Hydrogen_m', 'excess_b_H2_m'), 'flow');0,0
0;Hydrogen_n;(('Electrolysis_n', 'Hydrogen_n'), 'flow');562021,46
0;Hydrogen_n;(('H2_storage_n', 'Hydrogen_n'), 'flow');0,0
0;Hydrogen_n;(('Hydrogen_n', 'Export_Hydrogen_n'), 'flow');562021,46
0;Hydrogen_n;(('Hydrogen_n', 'Fuelcell_n'), 'flow');0,0
0;Hydrogen_n;(('Hydrogen_n', 'H2_storage_n'), 'flow');0,0
0;Hydrogen_n;(('Hydrogen_n', 'Hydrogen_demand_total_n'), 'flow');0,0
0;Hydrogen_n;(('Hydrogen_n', 'Hydrogen_feedin_n'), 'flow');0,0
0;Hydrogen_n;(('Hydrogen_n', 'Methanisation_n'), 'flow');0,0
0;Hydrogen_n;(('Hydrogen_n', 'PtL_n'), 'flow');0,0
0;Hydrogen_n;(('Hydrogen_n', 'excess_b_H2_n'), 'flow');0,0
0;Hydrogen_s;(('Electrolysis_s', 'Hydrogen_s'), 'flow');1846218,59
0;Hydrogen_s;(('H2_storage_s', 'Hydrogen_s'), 'flow');0,0
0;Hydrogen_s;(('Hydrogen_s', 'Export_Hydrogen_s'), 'flow');1846218,59
0;Hydrogen_s;(('Hydrogen_s', 'Fuelcell_s'), 'flow');0,0
0;Hydrogen_s;(('Hydrogen_s', 'H2_storage_s'), 'flow');0,0
0;Hydrogen_s;(('Hydrogen_s', 'Hydrogen_demand_total_s'), 'flow');0,0
0;Hydrogen_s;(('Hydrogen_s', 'Hydrogen_feedin_s'), 'flow');0,0
0;Hydrogen_s;(('Hydrogen_s', 'Methanisation_s'), 'flow');0,0
0;Hydrogen_s;(('Hydrogen_s', 'PtL_s'), 'flow');0,0
0;Hydrogen_s;(('Hydrogen_s', 'excess_b_H2_s'), 'flow');0,0
0;Gas_storage_e;(('Gas_e', 'Gas_storage_e'), 'flow');1018084,39
0;Gas_storage_e;(('Gas_storage_e', 'Gas_e'), 'flow');967180,17
0;Gas_storage_e;(('Gas_storage_e', 'None'), 'storage_content');4072693106,79
0;Gas_storage_m;(('Gas_m', 'Gas_storage_m'), 'flow');911055,96
0;Gas_storage_m;(('Gas_storage_m', 'Gas_m'), 'flow');865503,16
0;Gas_storage_m;(('Gas_storage_m', 'None'), 'storage_content');3654260078,36
0;Gas_storage_n;(('Gas_n', 'Gas_storage_n'), 'flow');514600,68
0;Gas_storage_n;(('Gas_storage_n', 'Gas_n'), 'flow');488870,64
0;Gas_storage_n;(('Gas_storage_n', 'None'), 'storage_content');2080956168,42
0;Gas_storage_s;(('Gas_s', 'Gas_storage_s'), 'flow');670595,72
0;Gas_storage_s;(('Gas_storage_s', 'Gas_s'), 'flow');637065,93
0;Gas_storage_s;(('Gas_storage_s', 'None'), 'storage_content');2609256401,03
0;H2_storage_e;(('H2_storage_e', 'Hydrogen_e'), 'flow');0,0
0;H2_storage_e;(('H2_storage_e', 'None'), 'storage_content');0,0
0;H2_storage_e;(('Hydrogen_e', 'H2_storage_e'), 'flow');0,0
